物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-246,優先看屋,國泰仁愛大廈-忠區｜國泰仁愛邊間美宅,國泰仁愛大廈-忠區,台北市大安區仁愛路四段,大安區,中古屋,華廈,住家用,4房2廳2衛,3,7,46.1,有,"每月約 1,200 元。",5988,5988,無,,,,符合,5988,"無車位，總價：5,988 萬 ≤ 預算 8,000 萬",42.69,7.81,50.5,,2.1,,52.61,符合,符合,主建物符合 26 坪,1,418.1,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,140.27,113.82,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8205GT,https://www.sinyi.com.tw/buy/house/8205GT,2026-09-20T13:29:57+08:00,,,,,主建物 42.69 坪，高於門檻 16.7 坪,屋齡 46.1 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-247,先補資料再決定,壯闊落成•大安崗石三房,,台北市大安區信義路四段,大安區,中古屋,電梯大樓,第２組多戶住宅,3房2廳2衛,7,13,1.9,有,"每月約 5,149 元。(車位管理費另繳納 800 元 / 月繳)",7580,7580,有,是,400,,符合,7580,"含車位總價：7,580 萬 ≤ 預算 8,000 萬",22.06,4.45,26.51,,13.11,11.59,51.21,不符合,符合,主＋附符合26坪；主建物未達26坪,2,864.9,11,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,325.48,181.22,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8407SC,https://www.sinyi.com.tw/buy/house/8407SC,2026-09-20T13:31:33+08:00,,,,,屋齡 1.9 年，相對較新,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-248,先補資料再決定,敦南首都｜３千萬內買大安區三房,敦南首都,台北市大安區和平東路三段,大安區,中古屋,電梯大樓,商業用,3房1廳2衛1室,3,12,40.6,有,"每月約 1,678 元。",2988,2988,無,,,,符合,2988,"無車位，總價：2,988 萬 ≤ 預算 8,000 萬",23.64,2.77,26.41,,5.58,,31.99,不符合,符合,主＋附符合26坪；主建物未達26坪,2A,1072.6,13.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,126.40,93.40,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8467KT,https://www.sinyi.com.tw/buy/house/8467KT,2026-09-20T13:24:41+08:00,,,,,（目前沒有明確優勢）,住宅用途待確認,登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-249,先補資料再決定,瑞安稀有一樓大空間,,台北市大安區瑞安街,大安區,中古屋,公寓,住家用,1房2廳,1,4,56.8,無,,3980,3980,無,,,,符合,3980,"無車位，總價：3,980 萬 ≤ 預算 8,000 萬",24.59,,,,,,24.59,不符合,待確認,面積待確認,2,1043.9,13.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,161.85,161.85,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8555RN,https://www.sinyi.com.tw/buy/house/8555RN,2026-09-20T13:26:28+08:00,,,,,（目前沒有明確優勢）,屋齡 56.8 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,刊登頁的主建物等於總建坪（24.59 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-250,目前不符合條件,昇陽國際３６０,,台北市信義區基隆路一段,信義區,預售屋,電梯大樓,,2廳2衛,10,31,,有,,8098,8098,有,是,400,,超出預算,8098,"含車位總價：8,098 萬 > 預算 8,000 萬",21.15,5.39,26.54,,13.82,12.66,53.02,不符合,符合,主＋附符合26坪；主建物未達26坪,5,932.7,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,363.97,190.73,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8681SJ,https://www.sinyi.com.tw/buy/house/8681SJ,2026-09-20T13:31:57+08:00,,,,,（目前沒有明確優勢）,"超出 8,000 萬預算",預計交屋時間刊登頁未揭露，需向代銷或建商確認；謄本登記用途未揭露（需確認為住家用）；管理費未揭露
XA-251,優先看屋,華美聯合大廈｜仁愛華美＊都更大戶,華美聯合大廈,台北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用,3房1廳1衛1室,5,12,55.5,有,,6136,6136,無,,,,符合,6136,"無車位，總價：6,136 萬 ≤ 預算 8,000 萬",28.05,2.92,30.97,,,,30.97,符合,符合,主建物符合 26 坪,1,968.6,12.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,218.75,198.13,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8695TS,https://www.sinyi.com.tw/buy/house/8695TS,2026-09-20T13:30:14+08:00,,,,,主建物達 26 坪且在預算內,屋齡 55.5 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,管理費未揭露
XA-252,優先看屋,仁愛御府｜【主推】東區仁愛御府４房,仁愛御府,台北市大安區仁愛路四段,大安區,中古屋,華廈,住家用,4房2廳2衛1室,3,6,40.3,有,"每月約 4,813 元。",6300,6300,無,,,,符合,6300,"無車位，總價：6,300 萬 ≤ 預算 8,000 萬",43.6,6.08,49.68,,4.51,,54.19,符合,符合,主建物符合 26 坪,1,776.5,10,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,144.50,116.26,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8721KR,https://www.sinyi.com.tw/buy/house/8721KR,2026-09-20T13:30:26+08:00,,,,,主建物 43.6 坪，高於門檻 17.6 坪,屋齡 40.3 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-254,優先看屋,【專任】大安典雅美寓,,台北市大安區樂利路,大安區,中古屋,公寓,集合住宅,3房2廳2衛,2,5,49.7,無,,3888,3888,無,,,,符合,3888,"無車位，總價：3,888 萬 ≤ 預算 8,000 萬",38.39,6.47,44.86,,,,44.87,符合,符合,主建物符合 26 坪,2A,646,8.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,101.28,86.65,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:8941YY,https://www.sinyi.com.tw/buy/house/8941YY,2026-09-20T13:26:21+08:00,待確認：公開地址只到「樂利路」。樂利路是住宅區內的次要道路，不是信義路、敦化南路、基隆路這類幹道；本戶是正面臨樂利路還是在巷內，需問門牌。平台資料顯示 26 公尺處有 YouBike 站。,全聯福利中心（平台標示約 220 公尺）、city'super／遠企一帶（平台標示約 250 公尺）、成功市場（平台標示約 350 公尺）、捷運六張犁站（平台標示 549 公尺、8.4 分）、捷運信義安和站出口2A（平台標示 652 公尺、9.2 分）,是,,主建物 38.39 坪的 2 樓一層一戶，登記住宅、無車位無公設灌水問題,目前出租中且格局圖標明三處陽台外移，屋齡近 50 年無電梯,租約內容（租期、租金、押金、是否公證）與交屋條件；建築完成日期與使用執照資料；完整門牌（臨樂利路或巷內）；陽台外推的施作年份與有無查報紀錄；管線更新與修漏紀錄；海砂（氯離子）、輻射檢測資料；頂樓與 1 樓現況、公共費用分攤方式
XA-255,優先看屋,安居樂利自成境｜電梯三房,,台北市大安區樂利路,大安區,中古屋,華廈,住家用,3房2廳2衛1室,5,7,40.7,有,每月約 600 元。,3750,3750,無,,,,符合,3750,"無車位，總價：3,750 萬 ≤ 預算 8,000 萬",31.45,4.26,35.71,,2.25,,37.96,符合,符合,主建物符合 26 坪,4,843.4,11,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,119.24,98.79,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:9041VK,https://www.sinyi.com.tw/buy/house/9041VK,2026-09-20T13:26:04+08:00,,,,,公設比低（約 6%）,屋齡 40.7 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-256,先補資料再決定,忠孝敦化收租美屋,,台北市大安區忠孝東路四段,大安區,中古屋,公寓,住家用,7房7衛,4,5,47,無,"每月約 1,000 元。",4388,4388,無,,,,符合,4388,"無車位，總價：4,388 萬 ≤ 預算 8,000 萬",41.39,7.44,48.83,,,,48.83,符合,符合,主建物符合 26 坪,1,806.2,10.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,106.02,89.86,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:93069G,https://www.sinyi.com.tw/buy/house/93069G,2026-09-20T13:27:03+08:00,,,,,主建物 41.39 坪，高於門檻 15.4 坪,屋齡 47 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；現況是否為隔套收租產品待確認
XA-257,優先看屋,永嘉華廈｜大陸工程忠孝敦化方正名宅,永嘉華廈,台北市大安區忠孝東路四段,大安區,中古屋,華廈,住家用,3房2廳2衛1室,2,7,58,有,"每月約 4,300 元。",5500,5500,無,,,,符合,5500,"無車位，總價：5,500 萬 ≤ 預算 8,000 萬",54.04,,,,,,54.04,符合,符合,主建物符合 26 坪,1,1135.7,14.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,101.78,101.78,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:9532GW,https://www.sinyi.com.tw/buy/house/9532GW,2026-09-20T13:29:06+08:00,,,,,主建物 54.04 坪，高於門檻 28.0 坪,屋齡 58 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；附屬建物坪數未揭露
XA-258,目前不符合條件,仁愛三普｜仁愛三普面林蔭,仁愛三普,台北市大安區仁愛路四段,大安區,中古屋,電梯大樓,住家用,5房2廳2衛,6,14,46.5,有,"每月約 2,725 元。",8686,8686,無,,,,超出預算,8686,"無車位，總價：8,686 萬 > 預算 8,000 萬",42.76,7.24,50,,6.19,,56.19,符合,符合,主建物符合 26 坪,5,717.7,9,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,203.13,154.58,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:95375Q,https://www.sinyi.com.tw/buy/house/95375Q,2026-09-20T13:32:20+08:00,,,,,主建物 42.76 坪，高於門檻 16.8 坪,"超出 8,000 萬預算",步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-259,先補資料再決定,專任信義安和捷運透天,,台北市大安區通化街,大安區,中古屋,透天,住家用,3房2廳3衛,1-3,3,33.3,,,2380,2380,無,,,,符合,2380,"無車位，總價：2,380 萬 ≤ 預算 8,000 萬",27.9,,,,,,27.9,待確認,待確認,面積待確認,4,489.5,6.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,85.30,85.30,研究日查得刊登頁，實際可售狀態待確認,1,信義房屋:9870VB,https://www.sinyi.com.tw/buy/house/9870VB,2026-09-20T13:32:27+08:00,,,,,步行約 6.5 分，屬優先範圍,面積待確認,現況是否為隔套收租產品待確認；刊登頁的主建物等於總建坪（27.9 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-260,先補資料再決定,商三特土地持份大/現成收租/未來發展潛力強,,台北市大安區信義路四段,大安區,中古屋,公寓,住家用,8房0廳8衛,4,4,56.83,無,,3000,3000,無,,,,符合,3000,"無車位，總價：3,000 萬 ≤ 預算 8,000 萬",27.64,,,,,,27.64,待確認,待確認,面積待確認,4,308.9,4,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝台灣房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,108.54,108.54,研究日查得刊登頁，實際可售狀態待確認,1,台灣房屋:TA02328341,https://www.twhg.com.tw/buy/TA02328341,2026-09-20T13:24:32+08:00,,,,,步行約 4 分到捷運出入口,面積待確認,現況是否為隔套收租產品待確認；刊登頁的主建物等於總建坪（27.64 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-261,先補資料再決定,光復南路精華透天高投報,,台北市大安區光復南路,大安區,中古屋,透天(平台原文：透天別墅),,9房2廳8衛,1-2,2,,有,,6388,6388,無,,,,符合,6388,"無車位，總價：6,388 萬 ≤ 預算 8,000 萬",39.52,,,,,,39.52,待確認,待確認,面積待確認,2A,659.6,8.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝台灣房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,161.64,161.64,研究日查得刊登頁，實際可售狀態待確認,1,台灣房屋:TA02534286,https://www.twhg.com.tw/buy/TA02534286,2026-09-20T13:27:07+08:00,,,,,主建物 39.52 坪，高於門檻 13.5 坪,面積待確認,現況是否為隔套收租產品待確認；刊登頁的主建物等於總建坪（39.52 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；謄本登記用途未揭露（需確認為住家用）；管理費未揭露
XA-262,先補資料再決定,信義安和捷運站▲大空間透天,,台北市大安區通化街,大安區,中古屋,透天(平台原文：透天別墅),住家用,5房3廳6衛,1-3,3,30.75,,,6980,6980,無,,,,符合,6980,"無車位，總價：6,980 萬 ≤ 預算 8,000 萬",47.66,1.52,49.18,,,,49.17,符合,符合,主建物符合 26 坪,4,459.5,6,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝台灣房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,146.45,141.96,研究日查得刊登頁，實際可售狀態待確認,1,台灣房屋:TF02354675,https://www.twhg.com.tw/buy/TF02354675,2026-09-20T13:27:28+08:00,,,,,主建物 47.66 坪，高於門檻 21.7 坪,屋齡 30.75 年：需留意管線、防水與貸款年限,現況是否為隔套收租產品待確認；管理費未揭露
XA-263,先補資料再決定,大安捷運黃金置產美寓,,台北市大安區信義路四段,大安區,中古屋,公寓,,6房(室)1廳4衛,1,4,59.7,無,,4980,4980,無,,,,符合,4980,"無車位，總價：4,980 萬 ≤ 預算 8,000 萬",30.1,,,,,,30.1,待確認,待確認,面積待確認,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,165.45,165.45,研究日查得刊登頁，實際可售狀態待確認,1,有巢氏房屋:7116945,https://buy.u-trust.com.tw/house/7116945,2026-09-20T13:34:04+08:00,,,,,（目前沒有明確優勢）,面積待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 3.5 分，誤差大）；刊登頁的主建物等於總建坪（30.1 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；謄本登記用途未揭露（需確認為住家用）；管理費未揭露
XA-264,目前不符合條件,敦南名園｜敦南名園,敦南名園,台北市大安區忠孝東路四段,大安區,中古屋,華廈,住家用,3房(室)2廳2衛,6,8,32.8,有,"8,600元/月",8388,8388,有,,,,超出預算,8388,"刊登開價：8,388 萬 > 預算 8,000 萬",35.94,5.23,41.17,,37.94,,79.11,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,,,研究日查得刊登頁，實際可售狀態待確認,1,有巢氏房屋:7309735,https://buy.u-trust.com.tw/house/7309735,2026-09-20T13:34:55+08:00,,,,,主建物 35.94 坪，高於門檻 9.9 坪,"超出 8,000 萬預算",位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 15 分，誤差大）；有車位，但刊登總價是否含車位、車位價格、能否分售不明；車位面積未揭露：無法確認權狀坪數中有多少是車位
XA-265,先補資料再決定,忠孝東路市中心精華區｜仁愛學區首選居所,,台北市大安區忠孝東路四段,大安區,中古屋,電梯大樓,住家用,None房(室)None廳None衛,7,12,56.9,有,,5858,5858,無,,,,符合,5858,"無車位，總價：5,858 萬 ≤ 預算 8,000 萬",46.94,,,,,,46.94,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,124.80,124.80,研究日查得刊登頁，實際可售狀態待確認,1,有巢氏房屋:7364386,https://buy.u-trust.com.tw/house/7364386,2026-09-20T13:34:26+08:00,,,,,主建物 46.94 坪，高於門檻 20.9 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 15 分，誤差大）；附屬建物坪數未揭露；管理費未揭露
XA-266,先補資料再決定,大安玫瑰傳家五房,,台北市大安區復興南路二段,大安區,中古屋,華廈,商業用,5房(室)2廳3衛,2,8,47.9,有,"1,500元/月",5388,5388,無,,,,符合,5388,"無車位，總價：5,388 萬 ≤ 預算 8,000 萬",48.37,0.97,49.34,,6.56,,55.9,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,111.39,96.39,研究日查得刊登頁，實際可售狀態待確認,1,有巢氏房屋:7418183,https://buy.u-trust.com.tw/house/7418183,2026-09-20T13:33:57+08:00,,,,,主建物 48.37 坪，高於門檻 22.4 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 17 分，誤差大）；登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-267,先補資料再決定,大富大樓｜敦化南路電梯景觀大戶,大富大樓,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,住家用,1房(室)2廳2衛,7,12,44.8,有,"4,060元/月",6186,6186,無,,,,符合,6186,"無車位，總價：6,186 萬 ≤ 預算 8,000 萬",37.39,6.26,43.65,,7.36,,51.01,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,165.45,121.27,研究日查得刊登頁，實際可售狀態待確認,1,有巢氏房屋:7484304,https://buy.u-trust.com.tw/house/7484304,2026-09-20T13:34:18+08:00,,,,,主建物 37.39 坪，高於門檻 11.4 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 8.5 分，誤差大）
XA-269,先補資料再決定,宏普帛詩華｜帛詩華三房高樓景,宏普帛詩華,台北市信義區基隆路二段,信義區,中古屋,電梯大樓,住家用,3房(室)2廳2衛,14,15,11.7,有,"10,632元/月,月繳",7600,7600,有,是,,,符合,7600,"含車位總價：7,600 萬 ≤ 預算 8,000 萬",32.72,5.38,38.1,,22.06,4.2,60.16,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,,,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6307937,https://buy.yungching.com.tw/house/6307937,2026-09-20T13:32:57+08:00,,,,,主建物 32.72 坪，高於門檻 6.7 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 12 分，誤差大）；總價含車位，但車位價格未拆分：無法計算扣車位後單價
XA-270,先補資料再決定,蘭芳｜名人巷靜巷3房,蘭芳,台北市大安區復興南路一段,大安區,中古屋,華廈,住家用,3房(室)2廳2衛,4,7,48.9,有,,4980,4980,無,,,,符合,4980,"無車位，總價：4,980 萬 ≤ 預算 8,000 萬",27.26,4.62,31.88,,4.84,,36.71,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,182.69,135.66,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6376980,https://buy.yungching.com.tw/house/6376980,2026-09-20T13:31:22+08:00,,,,,公設比低（約 13%）,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 17 分，誤差大）；管理費未揭露
XA-271,先補資料再決定,雙仁愛國泰邊間四房可抽車位,,台北市大安區仁愛路四段,大安區,中古屋,華廈,住家用,4房(室)2廳2衛,7,7,46,有,,4580,4580,無,,,,符合,4580,"無車位，總價：4,580 萬 ≤ 預算 8,000 萬",34.94,5.03,39.97,,8.3,,48.27,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,131.08,94.88,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6525547,https://buy.yungching.com.tw/house/6525547,2026-09-20T13:28:34+08:00,,,,,主建物 34.94 坪，高於門檻 8.9 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 6.5 分，誤差大）；管理費未揭露
XA-272,先補資料再決定,信義世貿林蔭雙拼可住可辦可招牌電梯,,台北市信義區基隆路二段,信義區,中古屋,其他(其他),商業用,4房(室)2廳2衛,3,8,37.8,有,"2,000元/月,月繳",3750,3750,無,,,,符合,3750,"無車位，總價：3,750 萬 ≤ 預算 8,000 萬",25.85,5.38,31.23,,6.38,,37.61,不符合,符合,主＋附符合26坪；主建物未達26坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,145.07,99.71,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6552829,https://buy.yungching.com.tw/house/6552829,2026-09-20T13:33:03+08:00,,,,,（目前沒有明確優勢）,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 12 分，誤差大）；登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-273,先補資料再決定,阿波羅｜阿波羅邊間店辦,阿波羅,台北市大安區忠孝東路四段,大安區,中古屋,電梯大樓,住家用,4房(室)2廳3衛,3,13,48.6,有,,7400,7400,無,,,,符合,7400,"無車位，總價：7,400 萬 ≤ 預算 8,000 萬",57.03,8.06,65.09,,6.2,,71.29,符合,符合,主建物符合 26 坪,,,,無法估算：可用的公開資訊只有路段。僅提供「路段代表點（Nominatim）→ OSM 步行路網」的粗估供參考，誤差可達數百公尺；需取得門牌後重算或實走,road_only,129.76,103.80,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6553052,https://buy.yungching.com.tw/house/6553052,2026-09-20T13:29:10+08:00,,,,,主建物 57.03 坪，高於門檻 31.0 坪,位置待確認,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算（路段代表點粗估約 15 分，誤差大）；管理費未揭露
XA-274,目前不符合條件,華誼閱翠5樓G,,台北市信義區,信義區,預售屋,電梯大樓,其他,--房(室)--廳--衛,5,24,0,有,,6796,6796,無,,,,符合,6796,"無車位，總價：6,796 萬 ≤ 預算 8,000 萬",24.02,1.79,25.81,,14.09,,39.89,不符合,不符合,兩種口徑皆未達 26 坪,,,,,district_only,282.93,170.37,研究日查得刊登頁，實際可售狀態待確認,1,永慶房屋:6632027,https://buy.yungching.com.tw/house/6632027,2026-09-20T13:33:46+08:00,,,,,屋齡 0 年，相對較新,主建物與主＋附皆未達 26 坪,位置待確認：刊登頁沒有可用的物件座標或門牌，步行時間無法可靠估算；平台屋齡 0 年且格局未填；同建案在實價登錄為預售交易 → 列為預售屋。預計交屋時間刊登頁未揭露（建案層級的完工資訊見「市場與社區」頁的預售表）；登記用途含非純住家項目（其他）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋；管理費未揭露
